id	name	year	country	genres	rating	voters	time	description	director	actors
484488	Меланхолия	2011	Дания;Швеция;Франция;Германия	фантастика;драма	7.005	48542	130	События фильма разворачиваются в дни, которые предшествуют катастрофе. Первая часть посвящена свадьбе Жюстин, которая быстро охладевает к торжеству, чем вызывает непонимание близких и гостей. Героиней второй части является Клэр, сестра Жюстин. Вначале Клэр ухаживает за впавшей в клиническую депрессию Жюстин и одновременно страшится сообщений о приближении таинственной планеты Меланхолия. Постепенно, по мере приближения планеты, Жюстин и Клэр меняются ролями. Теперь паникующая Клэр нуждается в заботе. В отчаянии она с сестрой и сыном готовится принять неизбежное.	Ларс фон Триер	Кирстен Данст;Шарлотта Генсбур;Кифер Сазерленд;Александр Скарсгард;Брэйди Корбет;Стеллан Скарсгард;Шарлотта Рэмплинг;Удо Кир;Камерон Спурр;Еспер Кристенсен
2313	Привычка жениться	1991	США	мелодрама;комедия;музыка	7.553	5890	115	У миллионера Чарльза Пирла есть вкус, стиль, обаяние  все, что нужно покорителю женских сердец. Вскоре дочь самого влиятельного человека в Голливуде выйдет за него замуж. Однако по дороге к алтарю незадачливый жених встречает девушку своей мечты.Певица Вики Андерсон красива, соблазнительна и согласна стать его женой. Чарльз снова возвращается под венец, не подозревая, что вскоре станет здесь частым гостем...	Джерри Рис	Ким Бейсингер;Алек Болдуин;Роберт Лоджа;Элизабет Шу;Арманд Ассанте;Пол Райзер;Фишер Стивенс;Питер Добсон;Стив Хитнер;Джереми Робертс
47257	Угадай, кто?	2005	США	мелодрама;комедия	7.095	20311	105	Перси Джонса очень заботит будущее его дочери Терезы. Еще даже не познакомившись с ее новым бойфрендом Саймоном Грином, он наводит о нем справки. По документам выходит, что Саймон намного лучше тех неудачников, с которыми Тереза встречалась раньше. У него прекрасная работа, отличные капиталовложения и многообещающее будущее.Однако в исчерпывающей информации о Саймоне есть одно упущение: там не сообщается о том, что он  белый. В принципе в этом нет ничего криминального, если, конечно же, Саймон не намерен жениться на Терезе. А он как раз намерен...	Кевин Родни Салливан	Берни Мак;Эштон Кутчер;Зои Салдана;Джудит Скотт;Хэл Уильямс;Келли Стюарт;Роберт Кертис-Браун;РонРико Ли;Паула Ньюсом;Фил Ривз
7698	Андеграунд	1995	Югославия (ФР);Германия;Франция;Чехия;Венгрия;Болгария	драма;комедия;военный	7.934	10197	194	В дни Второй мировой войны в Белграде подпольщики-антифашисты организовали целую фабрику по производству оружия. Война давно закончилась, а они продолжают свою деятельность. И все эти годы «наверху» жизнь течет своим чередом, а в «подполье»  своим.	Эмир Кустурица	Мики Манойлович;Лазар Ристовски;Миряна Йокович;Славко Штимац;Эрнст Штёцнер;Срджан Тодорович;Миряна Каранович;Милена Павлович;Данило Бата Стойкович;Бора Тодорович
484364	Сердцеед	2010	Франция;Монако	мелодрама;комедия	7.037	20520	105	Прожженный дамский угодник Алекс затевает на пару с сестрой занятный бизнес: он разбивает нежелательные для клиентов романтические союзы. Дело идет как по маслу, пока Алексу не попадается по-настоящему сложный заказ  ему поручено разлучить поистине идеальную пару.	Паскаль Шомель	Ромен Дюрис;Ванесса Паради;Жюли Ферье;Франсуа Дамиенс;Элена Ногуэрра;Эндрю Линкольн;Жак Франц;Амандин Девасме;Жан-Ив Лафесс;Жан-Мари Пэрис
583	О Шмидте	2002	США	драма;комедия	7.336	7746	125	История Уоррена Шмидта, работающего в страховой компании. После ухода на покой, он начинает переосмысливать прожитую жизнь, пытаясь понять, смог ли он достичь всех своих мечтаний в карьере, браке и семейной жизни.Дочь Уоррена почти не общается с ним, живет в Денвере и собирается выйти замуж за человека, которого он не одобряет. Что же делать? Шмидт отправляется в поездку через всю страну, чтобы остановить эту свадьбу, а заодно и найти смысл своей собственной жизни.	Александр Пэйн	Джек Николсон;Кэти Бейтс;Хоуп Дэвис;Дермот Малруни;Джун Скуиб;Ховард Хессеман;Гарри Гронер;Конни Рэй;Лен Кариу;Марк Венхуизен
272225	Война невест	2009	США	мелодрама;комедия	6.832	57933	89	Конец дружбе Эммы и Лив кладут их свадьбы, намеченные на один и тот же день. Никто не хочет уступать товарке, и погулять сначала у нее, а потом закатить пир самой. Девушки начинают отчаянную конкуренцию за место проведения торжества, гостей и предоставляемые услуги, не желая ни в чем уступать сопернице...	Гари Виник	Кейт Хадсон;Энн Хэтэуэй;Брайан Гринберг;Крис Пратт;Стив Хоуи;Кэндис Берген;Кристен Джонстон;Майкл Арден;Виктор Слезак;Келли Коффилд
276478	Мамма MIA!	2008	США;Великобритания;Германия	мюзикл;мелодрама;комедия	7.224	44960	108	Молодая девушка Софи собирается выйти замуж и мечтает о том, чтобы церемония прошла по всем правилам. Она хочет пригласить на свадьбу своего отца, чтобы он отвел ее к алтарю. Но она не знает, кто он, так как ее мать Донна никогда не рассказывала о нем.Софи находит дневник матери, в котором та описывает отношения с тремя мужчинами. Софи решает отправить приглашения всем троим! Все самое интересное начинает происходить, когда на свадьбу приезжают гости...	Филлида Ллойд	Аманда Сайфред;Мэрил Стрип;Пирс Броснан;Стеллан Скарсгард;Колин Фёрт;Джули Уолтерс;Кристин Барански;Рэйчел МакДауэлл;Эшли Лиллей;Доминик Купер
88146	Свидетель на свадьбе	2005	Великобритания;Венгрия;Германия;США	мелодрама;комедия	6.910	3420	96	Олли  писатель-неудачник, имеющий самую посредственную работу для человека своего круга. Казалось бы, его жизнь уже лишена всякого смысла... Но однажды случай меняет все... Раздается неожиданный звонок от друга по колледжу Джеймса с просьбой стать свидетелем на его свадьбе.И, конечно же, Олли влюбляется с первого взгляда в красавицу-невесту, в будущую жену своего лучшего друга. Всячески пытаясь сдержать свои чувства к Саре, главный герой постепенно понимает, что его лучший друг  вовсе не тот мужчина, который заслуживает любви такой прекрасной девушки. А что, если жених и свидетель поменяются местами?...	Стефан Шварц	Стюарт Таунсенд;Рафаэль Шварц;Джейкоб Мориарти;Каллум Уильямс;Сет Грин;Стив Джон Шеперд;Саймон Кэллоу;Джоди Мэй;Мате Хауман;Анна Чэнселлор
7285	Свадебный переполох	2001	Германия;США	мелодрама;комедия	6.860	33914	103	Мало кто так хорошо разбирается в любви и браке, как Мэри Фиоре, ведь она  свадебный церемонимейстер. Однако ее собственная личная жизнь оставляет желать лучшего... Однажды, при весьма необычных обстоятельствах, Мэри знакомится со Стивом Эдисоном. Эта встреча заставила героиню фильма поверить в любовь.Каково же было ее разочарование, когда она узнала, что Стив должен жениться на очень богатой клиентке! Что победит в душе женщины: разум или чувства, трезвый расчет или любовь?	Адам Шенкман	Дженнифер Лопез;Мэттью МакКонахи;Бриджит Уилсон;Джастин Чэмберс;Джуди Грир;Алекс Рокко;Джоанна Глисон;Чарльз Кимбро;Кевин Поллак;Фред Уиллард
279757	Друг невесты	2008	США;Великобритания	мелодрама;комедия	7.006	16329	97	Том Бэйли влюблен в Ханну  свою лучшую подругу. Но Том боится обязательств и отказывается признать очевидное  ему следует открыть свои чувства Ханне до того, как она найдет более решительного поклонника. Когда Колин, богатый шотландец, покоряет девушку и делает ей предложение, Том должен стать свидетелем ее счастья, находясь от нее в непосредственной близости  потому что она выбирает его своим Другом Невесты...	Пол Вейланд	Патрик Демпси;Мишель Монахэн;Кевин МакКидд;Кадим Хардисон;Крис Мессина;Ричмонд Аркетт;Бизи Филиппс;Уитни Каммингс;Теа Эмили Нельсон;Кэтлин Куинлен
11600	Королева Марго	1994	Франция;Италия;Германия	драма;мелодрама;биография;история	7.615	3071	159	Август 1572 года. Францию раздирает религиозная война. Чтобы восстановить мир в стране, прекрасная и гордая принцесса Марго, сестра католического короля Карла IX, должна выйти замуж за протестанта Генриха Наваррского. А после свадьбы произошла кровавая резня Варфоломеевской ночи, организованная жестокой и коварной Екатериной Медичи. Погибли тысячи протестантов, а один из них, тяжело раненный дворянин по имени Ла Моль, в отчаянной попытке спасти свою жизнь постучался в дверь Марго.	Патрис Шеро	Изабель Аджани;Даниель Отой;Жан-Юг Англад;Венсан Перес;Вирна Лизи;Доминик Блан;Паскаль Греггори;Клаудио Амендола;Мигель Бозе;Азия Ардженто
